track.name,track.id,track.popularity,href,id,name,type,uri,external_urls.spotify,song_id,song_name,popularity
,,,https://api.spotify.com/v1/artists/4QQgXkCYTt3BlENzhyNETg,4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire",artist,spotify:artist:4QQgXkCYTt3BlENzhyNETg,https://open.spotify.com/artist/4QQgXkCYTt3BlENzhyNETg,3koCCeSaVUyrRo3N2gHrd8,Let's Groove,79.0
,,,https://api.spotify.com/v1/artists/0Je74SitssvJg1w4Ra2EK7,0Je74SitssvJg1w4Ra2EK7,4 Non Blondes,artist,spotify:artist:0Je74SitssvJg1w4Ra2EK7,https://open.spotify.com/artist/0Je74SitssvJg1w4Ra2EK7,0jWgAnTrNZmOGmqgvHhZEm,What's Up?,84.0
,,,https://api.spotify.com/v1/artists/0fYPQBOx0vsRMmjUba9HgF,0fYPQBOx0vsRMmjUba9HgF,Modern English,artist,spotify:artist:0fYPQBOx0vsRMmjUba9HgF,https://open.spotify.com/artist/0fYPQBOx0vsRMmjUba9HgF,5ObgLyp4ytTtnFLDhrmcOi,I Melt with You,0.0
,,,https://api.spotify.com/v1/artists/0Xf8oDAJYd2D0k3NLI19OV,0Xf8oDAJYd2D0k3NLI19OV,CHIC,artist,spotify:artist:0Xf8oDAJYd2D0k3NLI19OV,https://open.spotify.com/artist/0Xf8oDAJYd2D0k3NLI19OV,5Tx7BNDEcwtCuN4LPM26Nq,Le Freak,0.0
,,,https://api.spotify.com/v1/artists/0L8ExT028jH3ddEcZwqJJ5,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,artist,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,1G391cbiT3v3Cywg8T7DM1,Scar Tissue,85.0
,,,https://api.spotify.com/v1/artists/1aX2dmV8XoHYCOQRxjPESG,1aX2dmV8XoHYCOQRxjPESG,The Human League,artist,spotify:artist:1aX2dmV8XoHYCOQRxjPESG,https://open.spotify.com/artist/1aX2dmV8XoHYCOQRxjPESG,2J9yZBKajggHsCmoSiaVCw,Together In Electric Dreams,57.0
,,,https://api.spotify.com/v1/artists/0f3EsoviYnRKTkmayI3cux,0f3EsoviYnRKTkmayI3cux,Men At Work,artist,spotify:artist:0f3EsoviYnRKTkmayI3cux,https://open.spotify.com/artist/0f3EsoviYnRKTkmayI3cux,5rfJ2Bq2PEL8yBjZLzouEu,Who Can It Be Now?,77.0
,,,https://api.spotify.com/v1/artists/7KMqksf0UMdyA0UCf4R3ux,7KMqksf0UMdyA0UCf4R3ux,James Blunt,artist,spotify:artist:7KMqksf0UMdyA0UCf4R3ux,https://open.spotify.com/artist/7KMqksf0UMdyA0UCf4R3ux,5pbajJXEPdcoXQPXoAVR1t,You're Beautiful,67.0
,,,https://api.spotify.com/v1/artists/1eClJfHLoDI4rZe5HxzBFv,1eClJfHLoDI4rZe5HxzBFv,INXS,artist,spotify:artist:1eClJfHLoDI4rZe5HxzBFv,https://open.spotify.com/artist/1eClJfHLoDI4rZe5HxzBFv,6XxFTFauoIwxcEjeped3Iz,Suicide Blonde,51.0
,,,https://api.spotify.com/v1/artists/7tjbDPvrdvDshcpEMXKRVb,7tjbDPvrdvDshcpEMXKRVb,Gerry Rafferty,artist,spotify:artist:7tjbDPvrdvDshcpEMXKRVb,https://open.spotify.com/artist/7tjbDPvrdvDshcpEMXKRVb,5gOd6zDC8vhlYjqbQdJVWP,Baker Street,72.0
,,,https://api.spotify.com/v1/artists/59wfkuBoNyhDMQGCljbUbA,59wfkuBoNyhDMQGCljbUbA,Diddy,artist,spotify:artist:59wfkuBoNyhDMQGCljbUbA,https://open.spotify.com/artist/59wfkuBoNyhDMQGCljbUbA,3QHONiXGMGU3z68mQInncF,"I'll Be Missing You (feat. Faith Evans, 112)",76.0
,,,https://api.spotify.com/v1/artists/5NDMothbpdpq2xHqSjrrWn,5NDMothbpdpq2xHqSjrrWn,Faith Evans,artist,spotify:artist:5NDMothbpdpq2xHqSjrrWn,https://open.spotify.com/artist/5NDMothbpdpq2xHqSjrrWn,3QHONiXGMGU3z68mQInncF,"I'll Be Missing You (feat. Faith Evans, 112)",76.0
